ID	Gene	Chrom	Start	End	Strand	log2FoldChange	pvalue
ENSG00000000457	SCYL3	1	169818772	169863408	-1	0.92485096	0.260828219
ENSG00000000460	C1orf112	1	169631245	169823221	1	-0.554084501	0.480851315
ENSG00000000971	CFH	1	196621008	196716634	1	1.698568267	0.046193227
ENSG00000001036	FUCA2	6	143815948	143832827	-1	-0.252004714	0.820834141
ENSG00000001084	GCLC	6	53362139	53481768	-1	-4.714782088	0.001582831
ENSG00000001460	STPG1	1	24683489	24743424	-1	0.308100345	0.018307496
ENSG00000001497	LAS1L	8	64732462	64754655	-1	1.072911959	0.34978541
ENSG00000002016	RAD52	12	1021243	1099219	-1	-2.363265495	0.096445166
ENSG00000002587	HS3ST1	4	11394774	11431389	-1	0.522181501	0.694667259
ENSG00000002834	LASP1	17	37026112	37078023	1	0.167877953	0.000387993
